,Year,Organization,Recipient,Amount,Description
23,2024,Open Philanthropy,Global Food Partners,100000.0,Global Food Partners — Advocacy Summits
24,2024,Open Philanthropy,Asociación para el Rescate y Bienestar de los Animales,100000.0,Asociación para el Rescate y Bienestar de los Animales — Cage-Free Campaigns 
25,2024,Open Philanthropy,People for Animals Uttarakhand,91100.0,People for Animals Uttarakhand – Cage-Free Campaigns in India
26,2024,Open Philanthropy,Ethical Seafood Research,81659.0,Ethical Seafood Research — Aquaculture Strategy in Zanzibar
27,2024,Open Philanthropy,RSPCA Australia,72347.0,RSPCA Australia — Broiler Chicken Reports
28,2024,EA Animal Welfare Fund,Don Staniford,60000.0,Covert surveillance of salmon farms
29,2024,Open Philanthropy,Swedish University of Agricultural Sciences,53700.0,Swedish University of Agricultural Sciences – Humane Fish Slaughter Research
30,2023,Open Philanthropy,Anima International,13272625.0,Anima International — General Support
31,2023,Open Philanthropy,The Humane League,8300000.0,The Humane League — General Support (2023)
32,2023,Open Philanthropy,The Good Food Institute,5300000.0,The Good Food Institute — General Support (2023)
33,2023,Open Philanthropy,Global Food Partners,4000000.0,Global Food Partners — Cage-free Implementation in Asia (2023)
34,2023,Open Philanthropy,L214,2901250.0,L214 — Corporate Campaigns in France (2023)
35,2023,Open Philanthropy,Wild Animal Initiative,2500000.0,Wild Animal Initiative – Academic Field Building
36,2023,Open Philanthropy,Sharpen Strategy,2500000.0,Sharpen Strategy — Farm Animal Welfare Consulting
37,2023,Open Philanthropy,Shrimp Welfare Project,2000000.0,Shrimp Welfare Project — General Support (2023)
38,2023,Open Philanthropy,FAI Farms,1919600.0,FAI Farms — Aquaculture Welfare Reforms
39,2023,Open Philanthropy,Eurogroup for Animals,1736622.0,Eurogroup for Animals — Fish Welfare (2024)
40,2023,Open Philanthropy,Humane Society International,1032550.0,Humane Society International — Farm Animal Welfare in Europe
41,2023,Open Philanthropy,Welfare Matters,1000000.0,Welfare Matters — Farm Animal Welfare Movement Building in Southeast Asia
42,2023,Open Philanthropy,Queen Mary University of London,980926.0,Queen Mary University of London — Animal Sentience Research
43,2023,Open Philanthropy,Humane Society International,887300.0,Humane Society International — Farm Animal Welfare in Southeast Asia
44,2023,Open Philanthropy,Crustacean Compassion,863595.0,Crustacean Compassion — General Support (2023)
45,2023,Open Philanthropy,Compassion in World Farming,758953.0,Compassion in World Farming — Farm Animal Welfare Advocacy
46,2023,Open Philanthropy,Wisdom Good Works,702600.0,Wisdom Good Works — Rodenticide Alternative
47,2023,Open Philanthropy,Compassion in World Farming,573882.0,Compassion in World Farming — Farm Animal Welfare in Asia and Latin America
48,2023,Open Philanthropy,Animal Welfare Corporate Partners,558890.0,Animal Welfare Corporate Partners — Cage-Free Implementation in Japan
49,2023,Open Philanthropy,Aquatic Life Institute,550000.0,Aquatic Life Institute — General Support (2023)
50,2023,Open Philanthropy,Compassion in World Farming USA,550000.0,Compassion in World Farming USA — Implementation of Corporate Pledges (2023)
51,2023,Open Philanthropy,Çiftlik Hayvanlarını Koruma Derneği,530800.0,Çiftlik Hayvanlarını Koruma Derneği — Farm Animal Welfare in Turkey
52,2023,Open Philanthropy,Aquaculture Stewardship Council,525000.0,Aquaculture Stewardship Council — Welfare Standards
53,2023,Open Philanthropy,Center for Responsible Food Business,500000.0,Center for Responsible Food Business — Corporate Engagement Group
54,2023,Open Philanthropy,Animal Advocacy Careers,500000.0,Animal Advocacy Careers — Career Coaching for Animal Advocates
55,2023,Open Philanthropy,Swedish University of Agricultural Sciences,384000.0,Swedish University of Agricultural Sciences — Portable Fish EEG
56,2023,Open Philanthropy,ProVeg International,384000.0,ProVeg International — Innovation Competitions for Alternative Proteins
57,2023,Open Philanthropy,Animal Kingdom Foundation,374800.0,Animal Kingdom Foundation — Farm Animal Welfare in the Philippines
58,2023,Open Philanthropy,OBRAZ,350000.0,OBRAZ — Broiler Chicken Welfare in Czechia
59,2023,Open Philanthropy,Animal Charity Evaluators,350000.0,Animal Charity Evaluators — General Support (2023)
60,2023,Open Philanthropy,Compromiso Verde,336000.0,Compromiso Verde — Cage-Free Campaigns in Peru
61,2023,Open Philanthropy,Wageningen University,330566.0,Wageningen University — Wild-Caught Fish Welfare
62,2023,Open Philanthropy,Carnegie Endowment for International Peace,322000.0,Carnegie Endowment for International Peace — Alternative Proteins for Security
63,2023,Open Philanthropy,European Environmental Bureau,321699.0,European Environmental Bureau — EU Farm Animal Welfare Advocacy
64,2023,Open Philanthropy,Vereniging Green Protein Alliance,306640.0,Vereniging Green Protein Alliance — Plant Protein Advocacy
65,2023,Open Philanthropy,SJS Inc.,300000.0,SJS Inc. — Market Shaping for Alternative Proteins
66,2023,Open Philanthropy,Madre Brava,300000.0,Madre Brava — Corporate Commitments for Alternative Proteins
67,2023,EA Animal Welfare Fund,Rethink Priorities,295600.0,Support annual salaries of max 9 employees (6 FTE) and other expenses to advance invertebrate and wild animal research
68,2023,Open Philanthropy,Rethink Priorities,268684.0,Rethink Priorities — Animal Welfare Field-Building
69,2023,Open Philanthropy,L214,256021.0,L214 — EU Farm Animal Welfare Legislation
70,2023,Open Philanthropy,Asia for Animals Coalition,250000.0,Asia for Animals Coalition — Farm Animal Welfare Movement Building in Asia
71,2023,Open Philanthropy,Vegetarianos Hoy,250000.0,Vegetarianos Hoy — Farm Animal Welfare in Chile and Colombia
72,2023,Open Philanthropy,European Consumer Organisation,215000.0,The European Consumer Organisation — EU Farm Animal Welfare Advocacy
73,2023,Open Philanthropy,People for Animals Uttarakhand,204400.0,People for Animals Uttarakhand — Farm Animal Welfare in India (2023)
74,2023,Open Philanthropy,Stanford University,200000.0,Stanford University – Meat Purchasing Behavioral Studies
75,2023,Open Philanthropy,Innovate Animal Ag,200000.0,Innovate Animal Ag — Farm Animal Welfare Technology Adoption
76,2023,Open Philanthropy,Animal Empathy Philippines,200000.0,Animal Empathy Philippines — Community Building Work
77,2023,Open Philanthropy,Vegan Women Summit,200000.0,Vegan Women Summit — Alternative Proteins Talent Pipeline (2023)
78,2023,Open Philanthropy,Freedom and Respect for Every Earthling (F.R.E.E.),193000.0,F.R.E.E. — Broiler and Cage-Free Reforms in Romania
79,2023,EA Animal Welfare Fund,The Humane League UK (THL UK),190000.0,Salary & discretionary costs to secure 2 supermarket Better Chicken Commitments & legal protections for farmed fishes
80,2023,Open Philanthropy,Animal & Vegan Advocacy Summit,169200.0,Animal & Vegan Advocacy Summit — Conference Support
81,2023,Animal Charity Evaluators,Fish Welfare Initiative,169085.0,Recommended Charity Fund
82,2023,Animal Charity Evaluators,Sinergia Animal,169085.0,Recommended Charity Fund
83,2023,Animal Charity Evaluators,The Good Food Institute,169085.0,Recommended Charity Fund
84,2023,Animal Charity Evaluators,The Humane League,169085.0,Recommended Charity Fund
85,2023,Animal Charity Evaluators,Wild Animal Initiative,169085.0,Recommended Charity Fund
86,2023,Open Philanthropy,Animal Alliance Asia,164000.0,Animal Alliance Asia — Farm Animal Welfare Movement Building
87,2023,Open Philanthropy,People for Animals Uttarakhand,159800.0,People For Animals Uttarakhand — Farm Animal Welfare Fellowship (2023)
88,2023,Open Philanthropy,Australian Alliance for Animals,150000.0,Australian Alliance for Animals — Farm Animal Welfare Advocacy
89,2023,Open Philanthropy,Animal Ask,150000.0,Animal Ask — Farm Animal Welfare Strategy Research (2023)
90,2023,Open Philanthropy,University of Stirling,146812.0,University of Stirling — Research on Electrical Stunning
91,2023,EA Animal Welfare Fund,Animals Aotearoa,139188.11,"Two years of operational costs for Animals Aotearoa, New Zealand’s primary charity for improving broiler welfare"
92,2023,Open Philanthropy,Animal Friends Jogja,139000.0,Animal Friends Jogja — Farm Animal Welfare in Indonesia (2022)
93,2023,Open Philanthropy,World Animal Protection,138000.0,World Animal Protection — Farm Animal Welfare in Kenya
94,2023,EA Animal Welfare Fund,"Shrimp Welfare Project, Ltd",130000.0,Purchase 4 stunners for producers committing to stun a minimum. of 1.4k MT (~100 million) of shrimps/annum per stunner
95,2023,Open Philanthropy,Stockholm Environment Institute,120000.0,Stockholm Environment Institute — Farm Animal Welfare Sustainability Reports
96,2023,Open Philanthropy,The Governors of the University of Calgary,107074.0,The Governors of the University of Calgary — Pork Immunocastration Research
97,2023,Animal Charity Evaluators,Dansk Vegetarisk Forening,103354.0,Recommended Charity Fund
98,2023,Open Philanthropy,Farmed Animal Funders,100000.0,Farmed Animal Funders — Fundraising Efforts
99,2023,Open Philanthropy,Partner Africa,100000.0,Partner Africa — Chicken Welfare in Kenya
100,2023,EA Animal Welfare Fund,Sentience Politics,100000.0,50% funding for one year to launch a ballot initiative to secure outdoor access for all farm animals in Switzerland
101,2023,Open Philanthropy,"University of California, Davis",97457.0,UC Davis — Rainbow Trout Enrichment Study
102,2023,Animal Charity Evaluators,Shrimp Welfare Project,96711.0,Recommended Charity Fund
103,2023,Animal Charity Evaluators,Faunalytics,95836.0,Recommended Charity Fund
104,2023,Animal Charity Evaluators,Faunalytics,94492.1,Recommended Charity Fund
105,2023,Animal Charity Evaluators,The Good Food Institute,94492.1,Recommended Charity Fund
106,2023,Animal Charity Evaluators,The Humane League,94492.1,Recommended Charity Fund
107,2023,Animal Charity Evaluators,Wild Animal Initiative,94492.1,Recommended Charity Fund
108,2023,EA Animal Welfare Fund,Equalia,87500.0,General operating support to cover the 33% of our 2024 budget’s funding gap
109,2023,EA Animal Welfare Fund,Legal Impact for Chickens,85000.0,"Expanding Legal Impact for Chickens (LIC), to fight factory-farm cruelty through litigation"
110,2023,EA Animal Welfare Fund,Tälist,85000.0,"1-year salary and IT costs to build & run a platform, automatically matching top talent with Alt. Protein jobs at scale"
111,2023,Animal Charity Evaluators,Çiftlik Hayvanlarını Koruma Derneği,84543.0,Recommended Charity Fund
112,2023,Animal Charity Evaluators,Legal Impact for Chickens,84543.0,Recommended Charity Fund
113,2023,Animal Charity Evaluators,New Roots Institute,84543.0,Recommended Charity Fund
114,2023,EA Animal Welfare Fund,Crustacean Compassion,84000.0,Crustacean Compassion Corporate and Political Engagement Growth Programme
115,2023,EA Animal Welfare Fund,Animal Advocacy Africa,80000.0,"1-year funds to build African orgs’ capacities, research on preventing factory farming & regrant to promising orgs"
116,2023,EA Animal Welfare Fund,Fórum Nacional de Proteção e Defesa Animal,80000.0,Continue the Forum accountability: carrying out the payment of employees' salaries and Interns students
117,2023,EA Animal Welfare Fund,University of Wisconsin-Madison,79668.0,2-year study to develop a welfare auditing tool for black soldier fly larvae raised for food and feed
118,2023,EA Animal Welfare Fund,Çiftlik Hayvanlarını Koruma Derneği (Farm Animals Protection Association),75000.0,12-month salary for the staff and communications/ads costs to sustain capacity for cage-free campaigns and fish welfare
119,2023,EA Animal Welfare Fund,Innovate Animal Ag,70000.0,Seed funding for a new nonprofit that will support agricultural technologies that improve animal welfare
120,2023,Open Philanthropy,IMPROVE,65756.0,IMPROVE — Egg Alternatives Research
121,2023,Open Philanthropy,Humane Society International India,60000.0,Humane Society International India — Exit Grant
122,2023,EA Animal Welfare Fund,Utunzi Animal Welfare Organization,60000.0,"1 yr cage free farmers awareness, public and students  sensitization, corporate outreach & lobbying  on cage free policy"
123,2023,EA Animal Welfare Fund,(Anonymous),60000.0,12-month grant to support a policy advocacy organization dedicated to banning the use of live baitfish
124,2023,Open Philanthropy,Ethical Seafood Research,56250.0,Ethical Seafood Research — Research on Farmed Tilapia Welfare in Egypt
125,2023,Open Philanthropy,Commonwealth Veterinary Association,55000.0,Commonwealth Veterinary Association — Animal Welfare Projects
126,2023,Animal Charity Evaluators,Çiftlik Hayvanlarını Koruma Derneği,51541.15,Recommended Charity Fund
127,2023,Animal Charity Evaluators,Compassion in World Farming USA,51541.15,Recommended Charity Fund
128,2023,Animal Charity Evaluators,Dansk Vegetarisk Forening,51541.15,Recommended Charity Fund
129,2023,Animal Charity Evaluators,Dharma Voices for Animals,51541.15,Recommended Charity Fund
130,2023,Animal Charity Evaluators,Federation of Indian Protection Organisations,51541.15,Recommended Charity Fund
131,2023,Animal Charity Evaluators,Fish Welfare Initiative,51541.15,Recommended Charity Fund
132,2023,Animal Charity Evaluators,Material Innovation Initiative,51541.15,Recommended Charity Fund
133,2023,Animal Charity Evaluators,Mercy For Animals,51541.15,Recommended Charity Fund
134,2023,Animal Charity Evaluators,New Harvest,51541.15,Recommended Charity Fund
135,2023,Animal Charity Evaluators,Sinergia Animal,51541.15,Recommended Charity Fund
136,2023,Animal Charity Evaluators,xiaobuVEGAN,51541.15,Recommended Charity Fund
137,2023,Open Philanthropy,Animal Outlook,50000.0,Animal Outlook — Investigations Training
138,2023,Open Philanthropy,Global Food Partners,50000.0,Global Food Partners — Cage-Free Reforms Summit
139,2023,EA Animal Welfare Fund,Conservative Animal Welfare Foundation,50000.0,To Fund a trilogy of reports which highlight the economic benefits of Farm Animal Welfare across Government departments
140,2023,EA Animal Welfare Fund,Planet for All Hong Kong,50000.0,One-year salary to continue  driving changes in government’s aquaculture standards
141,2023,EA Animal Welfare Fund,Institute of Animal Law of Asia,50000.0,Launching two Animal Law courses with a target audience of Asian countries through online platform
142,2023,EA Animal Welfare Fund,Scarlet Spark,50000.0,"We accelerate the speed-to-mission of organizations that help animals through consulting, coaching, and training"
143,2023,Open Philanthropy,University of Southampton,47517.0,The University of Southampton — Farm Animal Welfare Research
144,2023,EA Animal Welfare Fund,Animal Equality (UK),45000.0,Public awareness campaign for better farmed fish welfare at slaughter and to halt the UK salmon industry’s expansion
145,2023,EA Animal Welfare Fund,The Mission Motor,43000.0,6-month running costs of an international pilot to increase the use of evidence in the animal cause area
146,2023,Open Philanthropy,User-Friendly Marketing,40000.0,User-Friendly Marketing — Corporate Outreach Support
147,2023,EA Animal Welfare Fund,Animal Welfare League,40000.0,"A budget for Cage free project and organizational support for corporate campaigns,  staff development, and training of f"
148,2023,EA Animal Welfare Fund,Animal Ask,37500.0,Research consultancy that assisting animal advocacy organisations with dedicated research to inform their campaign prior
149,2023,EA Animal Welfare Fund,Tanzania Animal Welfare Society (TAWESO),36000.0,One year Costs to Engage  Farmed Fish Stakeholders on Fish Welfare Survey Document  for Policy and Regulations inclusion
150,2023,Animal Charity Evaluators,Samayu and A Just World,33000.0,Movement Grants
151,2023,EA Animal Welfare Fund,DC Voters for Animals,30000.0,"Annual salary for 2 FTEs to advance legal protections, pro-animal candidates, and social attitudes for animals in DC"
152,2023,EA Animal Welfare Fund,Education for African Animal Welfare-EAAW,30000.0,"Scaling up Cage Free project in Tanzania through strengthening media outreach, training, workshop, campaigns and surveys"
153,2023,Animal Charity Evaluators,Animal Alliance Asia,30000.0,Movement Grants
154,2023,Animal Charity Evaluators,Good Growth,30000.0,Movement Grants
155,2023,EA Animal Welfare Fund,Het Harrison Collectief (The Harrison Collective),27405.0,Starter funding for organization seeking to abolish harmful practices in the animal production industry
156,2023,Animal Charity Evaluators,Rachel Mason,27000.0,Movement Grants
157,2023,Open Philanthropy,University of Reading,26983.0,The University of Reading — Farm Animal Welfare Research
158,2023,EA Animal Welfare Fund,Fabienne Sandkühler,26700.0,840 hours salary to work on EAA meta-analysis
159,2023,Animal Charity Evaluators,Podrska Foundation,25000.0,Movement Grants
160,2023,Animal Charity Evaluators,Noa Weiss,24500.0,Movement Grants
161,2023,Animal Charity Evaluators,Animal Law Reform South Africa,24000.0,Movement Grants
162,2023,EA Animal Welfare Fund,Asociacion para el rescate y bienestar de losanimales - ARBA,22000.0,"Funding for a full-time economist, a part-time content developer, and a part-time public relations specialist, along with quarterly surveys to support legislative efforts and corporate engagements benefiting farm animals in Peru."
163,2023,Animal Charity Evaluators,AnimaNaturalis – Spain,20500.0,Movement Grants
164,2023,Open Philanthropy,Animal Charity Evaluators,20000.0,Animal Charity Evaluators — Impact Consultant 
165,2023,EA Animal Welfare Fund,Good Growth,20000.0,"1.5-day Asia strategy workshop to strengthen advocate connections, co-create initiatives and form working groups"
166,2023,Animal Charity Evaluators,Animal Advocacy Africa,20000.0,Movement Grants
167,2023,Animal Charity Evaluators,APEX Advocacy,20000.0,Movement Grants
168,2023,Animal Charity Evaluators,Healthier Hens,20000.0,Movement Grants
169,2023,Animal Charity Evaluators,Thrive Philanthropy,20000.0,Movement Grants
170,2023,Animal Charity Evaluators,Vegan Hacktivists,20000.0,Movement Grants
171,2023,Animal Charity Evaluators,"Egerton University in partnership with Africa Center For One Health-One Welfare Research, Innovation and Sustainable Livelihoods",19859.0,Movement Grants
172,2023,Animal Charity Evaluators,Made In Hackney,19780.0,Movement Grants
173,2023,Animal Charity Evaluators,Bryant Research,19500.0,Movement Grants
174,2023,Animal Charity Evaluators,Paris Animaux Zoopolis,19500.0,Movement Grants
175,2023,EA Animal Welfare Fund,Ren Springlea,18000.0,Seed grant to advocate for fish welfare by addressing bottlenecks for reform in three influential countries
176,2023,Animal Charity Evaluators,Fórum Nacional de Proteção e Defesa Animal,17500.0,Movement Grants
177,2023,Animal Charity Evaluators,Animal Advocates International,16500.0,Movement Grants
178,2023,Animal Charity Evaluators,Fundación DyD Animal,16500.0,Movement Grants
179,2023,Animal Charity Evaluators,Amis de l’Afrique Francophone – Bénin,16000.0,Movement Grants
180,2023,Animal Charity Evaluators,Gyvi Gali,16000.0,Movement Grants
181,2023,Open Philanthropy,Rethink Priorities,15000.0,Rethink Priorities — Moral Weight Book Rights
182,2023,Animal Charity Evaluators,ACTAsia,15000.0,Movement Grants
183,2023,Animal Charity Evaluators,Alianza Alimentaria y Acción Climática,15000.0,Movement Grants
184,2023,Animal Charity Evaluators,Education for African Animal Welfare,15000.0,Movement Grants
185,2023,Animal Charity Evaluators,Rethink Your Food Inc,15000.0,Movement Grants
186,2023,Animal Charity Evaluators,Animal Empathy Philippines,14000.0,Movement Grants
187,2023,Animal Charity Evaluators,La Question Aquatique,13000.0,Movement Grants
188,2023,Animal Charity Evaluators,Orore One Health and Development Initiative,13000.0,Movement Grants
189,2023,Animal Charity Evaluators,Animal Libre,12500.0,Movement Grants
190,2023,EA Animal Welfare Fund,Pierce Manlangit,12300.0,6-month budget for feasibility study & information session on alternative protein research capacity in the Philippines
191,2023,Animal Charity Evaluators,ARAF Plateau Dogon,12000.0,Movement Grants
192,2023,Animal Charity Evaluators,Humánny pokrok,11000.0,Movement Grants
193,2023,Animal Charity Evaluators,Animal Welfare and Environment Network for Tanzania,10500.0,Movement Grants
194,2023,EA Animal Welfare Fund,Every Animal,10000.0,Support Every Animal work to implement vegan rations in the Armed forces of Ukraine
195,2023,Animal Charity Evaluators,$camon $cotland,10000.0,Movement Grants
196,2023,Animal Charity Evaluators,AnimaNaturalis Internacional – México,10000.0,Movement Grants
197,2023,Animal Charity Evaluators,Asociación de Emprendedores Veganos de México,10000.0,Movement Grants
198,2023,Animal Charity Evaluators,Casa Vegana,10000.0,Movement Grants
199,2023,Animal Charity Evaluators,Green REV Institute,10000.0,Movement Grants
200,2023,Animal Charity Evaluators,Nature Imvelo Trust,10000.0,Movement Grants
201,2023,Animal Charity Evaluators,Sentient,10000.0,Movement Grants
202,2023,Animal Charity Evaluators,Tanzania Animal Welfare Society,10000.0,Movement Grants
203,2023,Animal Charity Evaluators,Uganda Vegan Society,10000.0,Movement Grants
204,2023,Animal Charity Evaluators,User-Friendly,10000.0,Movement Grants
205,2023,Animal Charity Evaluators,We The Free,10000.0,Movement Grants
206,2023,Animal Charity Evaluators,Mama Beatrinia Foundatio,8000.0,Movement Grants
207,2023,EA Animal Welfare Fund,University of Nigeria Alt Protein Project,7000.0,A symposium to highlight the role students and academia can play in the transition to sustainable proteins
208,2023,Animal Charity Evaluators,Fundación Abogados por los Animale,6700.0,Movement Grants
209,2023,EA Animal Welfare Fund,(Anonymous),5000.0,"""Animal Liberation"" by Peter Singer into Thai to promote animal welfare awareness and ethical considerations in Thailand"
210,2023,Animal Charity Evaluators,Fundación UVA Unión Vegana Argentin,5000.0,Movement Grants
211,2023,EA Animal Welfare Fund,Oxford University Vegan and Vegetarian Society,2500.0,"Helping Oxford Vegsoc to improve outreach, quality of events and quality of speakers available next academic year"
212,2023,EA Animal Welfare Fund,Veganske Studerende (The Vegan Student Association of Denmark),2400.0,"Student-led campaign for plant-based universities in Denmark, beginning with the University of Copenhagen (UCPH)"
213,2023,EA Animal Welfare Fund,Crustacean Compassion,2171.0,Funding to attend Effective Animal Advocacy Coordination Forum
214,2023,EA Animal Welfare Fund,Pierce Manlangit,1000.0,Top-up fund to convert alternative protein culminating event from a virtual info session to an in-person symposium
215,2022,Open Philanthropy,Mercy For Animals,12470000.0,Mercy for Animals — Corporate Campaigns (2022)
216,2022,Open Philanthropy,The Accountability Board,10324603.0,Accountability Board — Advocacy Campaigns
217,2022,Open Philanthropy,The Humane League,8300000.0,The Humane League — General Support (2022)
218,2022,Open Philanthropy,Anima International,6000000.0,Anima International — Chicken Welfare Campaigns (2022)
219,2022,Open Philanthropy,Eurogroup for Animals,5699748.0,Eurogroup for Animals — Farm Animal Welfare in Europe (2022)
220,2022,Open Philanthropy,Compassion in World Farming,3559572.0,Compassion in World Farming — Broiler Chicken Welfare and Efforts to End Cages and Crates
221,2022,Open Philanthropy,University of Bern,2700000.0,University of Bern — Cage-free Layer Hen Genetics
222,2022,Open Philanthropy,Sinergia Animal,2482743.0,Sinergia Animal — Farm Animal Welfare in Southeast Asia and Latin America
223,2022,Open Philanthropy,Equalia,2409106.0,Equalia — Corporate Campaigns (2022)
224,2022,Open Philanthropy,Welfare Footprint Project,1250000.0,Welfare Footprint Project — Research on Animal Welfare Reforms (2023)
225,2022,Open Philanthropy,Conservative Animal Welfare Foundation,1245067.0,Conservative Animal Welfare Foundation — Farm Animal Advocacy
226,2022,Open Philanthropy,World Animal Protection,1142000.0,World Animal Protection — Farm Animal Welfare in Southeast Asia (2022)
227,2022,Open Philanthropy,Mission Realization,992000.0,Mission Realization — Support for Farm Animal Welfare Organizations
228,2022,Open Philanthropy,Eurogroup for Animals,912994.0,Eurogroup for Animals — European Union Trade Strategy (2022)
229,2022,Open Philanthropy,University of Stirling,904610.0,University of Stirling — Fish Welfare Research
230,2022,Open Philanthropy,Eurogroup for Animals,891120.0,Eurogroup for Animals — Chicken Welfare Advocacy (2022)
231,2022,Open Philanthropy,Charity Entrepreneurship,788000.0,Charity Entrepreneurship — Farm Animal Welfare Charity Incubator
232,2022,Open Philanthropy,Catalyst,699986.0,Catalyst — Farm Animal Welfare in Thailand (2022)
233,2022,Open Philanthropy,fair-fish international association,690000.0,fair-fish international association — General Support (2022)
234,2022,Open Philanthropy,The Center for Responsible Seafood,625000.0,The Center for Responsible Seafood — Fish Welfare Research and Promotion
235,2022,Open Philanthropy,Material Innovation Initiative,600000.0,Material Innovation Initiative — Plant-Based Fashion Alternatives (2022)
236,2022,Open Philanthropy,We Animals Media,600000.0,We Animals Media — Content for Farm Animal Welfare Advocacy (2022)
237,2022,Open Philanthropy,Plant Based Foods Institute,595000.0,Plant Based Foods Institute — International Regranting Against Labeling Laws
238,2022,Open Philanthropy,Essere Animali,554000.0,Essere Animali — Farm Animal Welfare in Italy (2022)
239,2022,Open Philanthropy,Compassion in World Farming USA,550000.0,Compassion in World Farming (CIWF) USA — Broiler Chicken Welfare
240,2022,Open Philanthropy,World Organisation for Animal Health,515000.0,World Organisation for Animal Health — Animal Welfare Standards in Southeast Asia
241,2022,Open Philanthropy,Global Animal Partnership,500000.0,Global Animal Partnership — Exit Grant
242,2022,Open Philanthropy,Food Frontier,500000.0,Food Frontier — Promoting Plant-Based Meat Alternatives in Asia
243,2022,Open Philanthropy,Alianima,481000.0,Alianima — Corporate Pledge Implementation in Brazil
244,2022,Open Philanthropy,Animal Justice Canada,469916.0,Animal Justice Canada — Animal Welfare Corporate Campaigns
245,2022,Open Philanthropy,Rethink Priorities,468004.0,Rethink Priorities — Animal Welfare Research
246,2022,Open Philanthropy,European Institute for Animal Law and Policy,430000.0,European Institute for Animal Law and Policy — Farm Animal Welfare Advocacy
247,2022,EA Animal Welfare Fund,Wild Animal Initiative,400000.0,39% of 2022 general operating expenses to build an academic field dedicated to wild animal welfare
248,2022,Open Philanthropy,Advocates for Animals,376235.0,Advocates for Animals — Farm Animal Welfare Legal Work
249,2022,Open Philanthropy,The Pollination Project,370000.0,The Pollination Project — Movement Building (2022)
250,2022,Open Philanthropy,Humánny pokrok,357628.0,Humánny pokrok — Farm Animal Welfare in Slovakia
251,2022,Open Philanthropy,Fórum Nacional de Proteção e Defesa Animal,301000.0,Fórum Nacional de Proteção e Defesa Animal — Corporate Campaigns in Brazil (2022)
252,2022,Open Philanthropy,Animal Rights Center Japan,300000.0,Animal Rights Center Japan — Corporate Campaigns (2022)
253,2022,Open Philanthropy,Shrimp Welfare Project,300000.0,Shrimp Welfare Project — General Support
254,2022,Open Philanthropy,Legal Impact for Chickens,300000.0,Legal Impact for Chickens — Farm Animal Welfare Litigation
255,2022,Open Philanthropy,New York University,300000.0,New York University — Wild Animal Welfare Program
256,2022,Open Philanthropy,VegeProject,300000.0,VegeProject — Corporate Outreach (2022)
257,2022,Open Philanthropy,Certified Humane,280000.0,Certified Humane — PR for Certification System
258,2022,Open Philanthropy,University of Wisconsin–Madison,279000.0,University of Wisconsin–Madison — Layer Hen Welfare Research
