Year,Organization,Recipient,Amount,Description
2023,EA Animal Welfare Fund,Conservative Animal Welfare Foundation,"$50,000.00",To Fund a trilogy of reports which highlight the economic benefits of Farm Animal Welfare across Government departments
2023,EA Animal Welfare Fund,Planet for All Hong Kong,"$50,000.00",One-year salary to continue  driving changes in government’s aquaculture standards
2023,EA Animal Welfare Fund,Institute of Animal Law of Asia,"$50,000.00",Launching two Animal Law courses with a target audience of Asian countries through online platform
2023,EA Animal Welfare Fund,Scarlet Spark,"$50,000.00","We accelerate the speed-to-mission of organizations that help animals through consulting, coaching, and training"
2023,Open Philanthropy,University of Southampton,"$47,517.00",The University of Southampton — Farm Animal Welfare Research
2023,EA Animal Welfare Fund,Animal Equality (UK),"$45,000.00",Public awareness campaign for better farmed fish welfare at slaughter and to halt the UK salmon industry’s expansion
2023,EA Animal Welfare Fund,The Mission Motor,"$43,000.00",6-month running costs of an international pilot to increase the use of evidence in the animal cause area
2023,Open Philanthropy,User-Friendly Marketing,"$40,000.00",User-Friendly Marketing — Corporate Outreach Support
2023,EA Animal Welfare Fund,Animal Welfare League,"$40,000.00","A budget for Cage free project and organizational support for corporate campaigns,  staff development, and training of f"
2023,EA Animal Welfare Fund,Animal Ask,"$37,500.00",Research consultancy that assisting animal advocacy organisations with dedicated research to inform their campaign prior
2023,EA Animal Welfare Fund,Tanzania Animal Welfare Society (TAWESO),"$36,000.00",One year Costs to Engage  Farmed Fish Stakeholders on Fish Welfare Survey Document  for Policy and Regulations inclusion
2023,Animal Charity Evaluators,Samayu and A Just World,"$33,000.00",Movement Grants
2023,EA Animal Welfare Fund,DC Voters for Animals,"$30,000.00","Annual salary for 2 FTEs to advance legal protections, pro-animal candidates, and social attitudes for animals in DC"
2023,EA Animal Welfare Fund,Education for African Animal Welfare-EAAW,"$30,000.00","Scaling up Cage Free project in Tanzania through strengthening media outreach, training, workshop, campaigns and surveys"
2023,Animal Charity Evaluators,Animal Alliance Asia,"$30,000.00",Movement Grants
2023,Animal Charity Evaluators,Good Growth,"$30,000.00",Movement Grants
2023,EA Animal Welfare Fund,Het Harrison Collectief (The Harrison Collective),"$27,405.00",Starter funding for organization seeking to abolish harmful practices in the animal production industry
2023,Animal Charity Evaluators,Rachel Mason,"$27,000.00",Movement Grants
2023,Open Philanthropy,University of Reading,"$26,983.00",The University of Reading — Farm Animal Welfare Research
2023,EA Animal Welfare Fund,Fabienne Sandkühler,"$26,700.00",840 hours salary to work on EAA meta-analysis
2023,Animal Charity Evaluators,Podrska Foundation,"$25,000.00",Movement Grants
2023,Animal Charity Evaluators,Noa Weiss,"$24,500.00",Movement Grants
2023,Animal Charity Evaluators,Animal Law Reform South Africa,"$24,000.00",Movement Grants
2023,EA Animal Welfare Fund,Asociacion para el rescate y bienestar de losanimales - ARBA,"$22,000.00","Funding for a full-time economist, a part-time content developer, and a part-time public relations specialist, along with quarterly surveys to support legislative efforts and corporate engagements benefiting farm animals in Peru."
2023,Animal Charity Evaluators,AnimaNaturalis – Spain,"$20,500.00",Movement Grants
2023,Open Philanthropy,Animal Charity Evaluators,"$20,000.00",Animal Charity Evaluators — Impact Consultant 
2023,EA Animal Welfare Fund,Good Growth,"$20,000.00","1.5-day Asia strategy workshop to strengthen advocate connections, co-create initiatives and form working groups"
2023,Animal Charity Evaluators,Animal Advocacy Africa,"$20,000.00",Movement Grants
2023,Animal Charity Evaluators,APEX Advocacy,"$20,000.00",Movement Grants
2023,Animal Charity Evaluators,Healthier Hens,"$20,000.00",Movement Grants
2023,Animal Charity Evaluators,Thrive Philanthropy,"$20,000.00",Movement Grants
2023,Animal Charity Evaluators,Vegan Hacktivists,"$20,000.00",Movement Grants
2023,Animal Charity Evaluators,"Egerton University in partnership with Africa Center For One Health-One Welfare Research, Innovation and Sustainable Livelihoods","$19,859.00",Movement Grants
2023,Animal Charity Evaluators,Made In Hackney,"$19,780.00",Movement Grants
2023,Animal Charity Evaluators,Bryant Research,"$19,500.00",Movement Grants
2023,Animal Charity Evaluators,Paris Animaux Zoopolis,"$19,500.00",Movement Grants
2023,EA Animal Welfare Fund,Ren Springlea,"$18,000.00",Seed grant to advocate for fish welfare by addressing bottlenecks for reform in three influential countries
2023,Animal Charity Evaluators,Fórum Nacional de Proteção e Defesa Animal,"$17,500.00",Movement Grants
2023,Animal Charity Evaluators,Animal Advocates International,"$16,500.00",Movement Grants
2023,Animal Charity Evaluators,Fundación DyD Animal,"$16,500.00",Movement Grants
2023,Animal Charity Evaluators,Amis de l’Afrique Francophone – Bénin,"$16,000.00",Movement Grants
2023,Animal Charity Evaluators,Gyvi Gali,"$16,000.00",Movement Grants
2023,Open Philanthropy,Rethink Priorities,"$15,000.00",Rethink Priorities — Moral Weight Book Rights
2023,Animal Charity Evaluators,ACTAsia,"$15,000.00",Movement Grants
2023,Animal Charity Evaluators,Alianza Alimentaria y Acción Climática,"$15,000.00",Movement Grants
2023,Animal Charity Evaluators,Education for African Animal Welfare,"$15,000.00",Movement Grants
2023,Animal Charity Evaluators,Rethink Your Food Inc,"$15,000.00",Movement Grants
2023,Animal Charity Evaluators,Animal Empathy Philippines,"$14,000.00",Movement Grants
2023,Animal Charity Evaluators,La Question Aquatique,"$13,000.00",Movement Grants
2023,Animal Charity Evaluators,Orore One Health and Development Initiative,"$13,000.00",Movement Grants
2023,Animal Charity Evaluators,Animal Libre,"$12,500.00",Movement Grants
2023,EA Animal Welfare Fund,Pierce Manlangit,"$12,300.00",6-month budget for feasibility study & information session on alternative protein research capacity in the Philippines
2023,Animal Charity Evaluators,ARAF Plateau Dogon,"$12,000.00",Movement Grants
2023,Animal Charity Evaluators,Humánny pokrok,"$11,000.00",Movement Grants
2023,Animal Charity Evaluators,Animal Welfare and Environment Network for Tanzania,"$10,500.00",Movement Grants
2023,EA Animal Welfare Fund,Every Animal,"$10,000.00",Support Every Animal work to implement vegan rations in the Armed forces of Ukraine
2023,Animal Charity Evaluators,$camon $cotland,"$10,000.00",Movement Grants
2023,Animal Charity Evaluators,AnimaNaturalis Internacional – México,"$10,000.00",Movement Grants
2023,Animal Charity Evaluators,Asociación de Emprendedores Veganos de México,"$10,000.00",Movement Grants
2023,Animal Charity Evaluators,Casa Vegana,"$10,000.00",Movement Grants
2023,Animal Charity Evaluators,Green REV Institute,"$10,000.00",Movement Grants
2023,Animal Charity Evaluators,Nature Imvelo Trust,"$10,000.00",Movement Grants
2023,Animal Charity Evaluators,Sentient,"$10,000.00",Movement Grants
2023,Animal Charity Evaluators,Tanzania Animal Welfare Society,"$10,000.00",Movement Grants
2023,Animal Charity Evaluators,Uganda Vegan Society,"$10,000.00",Movement Grants
2023,Animal Charity Evaluators,User-Friendly,"$10,000.00",Movement Grants
2023,Animal Charity Evaluators,We The Free,"$10,000.00",Movement Grants
2023,Animal Charity Evaluators,Mama Beatrinia Foundatio,"$8,000.00",Movement Grants
2023,EA Animal Welfare Fund,University of Nigeria Alt Protein Project,"$7,000.00",A symposium to highlight the role students and academia can play in the transition to sustainable proteins
2023,Animal Charity Evaluators,Fundación Abogados por los Animale,"$6,700.00",Movement Grants
2023,EA Animal Welfare Fund,(Anonymous),"$5,000.00","""Animal Liberation"" by Peter Singer into Thai to promote animal welfare awareness and ethical considerations in Thailand"
2023,Animal Charity Evaluators,Fundación UVA Unión Vegana Argentin,"$5,000.00",Movement Grants
2023,EA Animal Welfare Fund,Oxford University Vegan and Vegetarian Society,"$2,500.00","Helping Oxford Vegsoc to improve outreach, quality of events and quality of speakers available next academic year"
2023,EA Animal Welfare Fund,Veganske Studerende (The Vegan Student Association of Denmark),"$2,400.00","Student-led campaign for plant-based universities in Denmark, beginning with the University of Copenhagen (UCPH)"
2023,EA Animal Welfare Fund,Crustacean Compassion,"$2,171.00",Funding to attend Effective Animal Advocacy Coordination Forum
2023,EA Animal Welfare Fund,Pierce Manlangit,"$1,000.00",Top-up fund to convert alternative protein culminating event from a virtual info session to an in-person symposium
2022,Open Philanthropy,Mercy For Animals,"$12,470,000.00",Mercy for Animals — Corporate Campaigns (2022)
2022,Open Philanthropy,The Accountability Board,"$10,324,603.00",Accountability Board — Advocacy Campaigns
2022,Open Philanthropy,The Humane League,"$8,300,000.00",The Humane League — General Support (2022)
2022,Open Philanthropy,Anima International,"$6,000,000.00",Anima International — Chicken Welfare Campaigns (2022)
2022,Open Philanthropy,Eurogroup for Animals,"$5,699,748.00",Eurogroup for Animals — Farm Animal Welfare in Europe (2022)
2022,Open Philanthropy,Compassion in World Farming,"$3,559,572.00",Compassion in World Farming — Broiler Chicken Welfare and Efforts to End Cages and Crates
2022,Open Philanthropy,University of Bern,"$2,700,000.00",University of Bern — Cage-free Layer Hen Genetics
2022,Open Philanthropy,Sinergia Animal,"$2,482,743.00",Sinergia Animal — Farm Animal Welfare in Southeast Asia and Latin America
2022,Open Philanthropy,Equalia,"$2,409,106.00",Equalia — Corporate Campaigns (2022)
2022,Open Philanthropy,Welfare Footprint Project,"$1,250,000.00",Welfare Footprint Project — Research on Animal Welfare Reforms (2023)
2022,Open Philanthropy,Conservative Animal Welfare Foundation,"$1,245,067.00",Conservative Animal Welfare Foundation — Farm Animal Advocacy
2022,Open Philanthropy,World Animal Protection,"$1,142,000.00",World Animal Protection — Farm Animal Welfare in Southeast Asia (2022)
2022,Open Philanthropy,Mission Realization,"$992,000.00",Mission Realization — Support for Farm Animal Welfare Organizations
2022,Open Philanthropy,Eurogroup for Animals,"$912,994.00",Eurogroup for Animals — European Union Trade Strategy (2022)
2022,Open Philanthropy,University of Stirling,"$904,610.00",University of Stirling — Fish Welfare Research
2022,Open Philanthropy,Eurogroup for Animals,"$891,120.00",Eurogroup for Animals — Chicken Welfare Advocacy (2022)
2022,Open Philanthropy,Charity Entrepreneurship,"$788,000.00",Charity Entrepreneurship — Farm Animal Welfare Charity Incubator
2022,Open Philanthropy,Catalyst,"$699,986.00",Catalyst — Farm Animal Welfare in Thailand (2022)
2022,Open Philanthropy,fair-fish international association,"$690,000.00",fair-fish international association — General Support (2022)
2022,Open Philanthropy,The Center for Responsible Seafood,"$625,000.00",The Center for Responsible Seafood — Fish Welfare Research and Promotion
2022,Open Philanthropy,Material Innovation Initiative,"$600,000.00",Material Innovation Initiative — Plant-Based Fashion Alternatives (2022)
2022,Open Philanthropy,We Animals Media,"$600,000.00",We Animals Media — Content for Farm Animal Welfare Advocacy (2022)
2022,Open Philanthropy,Plant Based Foods Institute,"$595,000.00",Plant Based Foods Institute — International Regranting Against Labeling Laws
2022,Open Philanthropy,Essere Animali,"$554,000.00",Essere Animali — Farm Animal Welfare in Italy (2022)
2022,Open Philanthropy,Compassion in World Farming USA,"$550,000.00",Compassion in World Farming (CIWF) USA — Broiler Chicken Welfare
2022,Open Philanthropy,World Organisation for Animal Health,"$515,000.00",World Organisation for Animal Health — Animal Welfare Standards in Southeast Asia
2022,Open Philanthropy,Global Animal Partnership,"$500,000.00",Global Animal Partnership — Exit Grant
2022,Open Philanthropy,Food Frontier,"$500,000.00",Food Frontier — Promoting Plant-Based Meat Alternatives in Asia
2022,Open Philanthropy,Alianima,"$481,000.00",Alianima — Corporate Pledge Implementation in Brazil
2022,Open Philanthropy,Animal Justice Canada,"$469,916.00",Animal Justice Canada — Animal Welfare Corporate Campaigns
2022,Open Philanthropy,Rethink Priorities,"$468,004.00",Rethink Priorities — Animal Welfare Research
2022,Open Philanthropy,European Institute for Animal Law and Policy,"$430,000.00",European Institute for Animal Law and Policy — Farm Animal Welfare Advocacy
2022,EA Animal Welfare Fund,Wild Animal Initiative,"$400,000.00",39% of 2022 general operating expenses to build an academic field dedicated to wild animal welfare
2022,Open Philanthropy,Advocates for Animals,"$376,235.00",Advocates for Animals — Farm Animal Welfare Legal Work
2022,Open Philanthropy,The Pollination Project,"$370,000.00",The Pollination Project — Movement Building (2022)
2022,Open Philanthropy,Humánny pokrok,"$357,628.00",Humánny pokrok — Farm Animal Welfare in Slovakia
2022,Open Philanthropy,Fórum Nacional de Proteção e Defesa Animal,"$301,000.00",Fórum Nacional de Proteção e Defesa Animal — Corporate Campaigns in Brazil (2022)
2022,Open Philanthropy,Animal Rights Center Japan,"$300,000.00",Animal Rights Center Japan — Corporate Campaigns (2022)
2022,Open Philanthropy,Shrimp Welfare Project,"$300,000.00",Shrimp Welfare Project — General Support
